#,Group,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,Hype vs Reality,The talk's main message about AI is best summed up as…,Replace the whole team with a bot named Kevin,Right tool for the right problem,"AI is all hype, just ignore it",Put AI on absolutely everything,20,2
2,Hype vs Reality,"According to the talk, most everyday work problems are best solved by…","The lower rungs: boring, reliable automation",A giant frontier LLM,A magic 8-ball,Three LLMs arguing in a committee,20,1
3,Hype vs Reality,"""It's all AI"" vs ""it's all hype"" — the talk calls this…",A fallacy,The official EU regulation,The name of Mollick's otter,A solid engineering principle,20,1
4,Hype vs Reality,Why do hyped AI headlines cause so much confusion?,They're written in binary,They're ghost-written by the otter,They rarely say which 'rung' they mean,They're all in Latin,20,3
5,The Ladder,How many rungs are on the talk's 'AI ladder'?,Three,Ten,Five,Infinite — it's turtles all the way up,20,3
6,The Ladder,Which is the correct bottom-to-top order of the ladder?,NLP → Automation → Transformer → ML → ChatGPT,Coffee → Panic → Deadline → Demo → Applause,Automation → NLP → ML → Transformer → ChatGPT,ChatGPT → ML → NLP → Automation → Transformer,20,3
7,The Ladder,The talk says you've probably already used most rungs…,Without knowing their names,And should feel ashamed,Only in your dreams,While riding the otter's plane,20,1
8,Rung 1 · Automation,"""If this, then do that"" — fast and forever — describes…",Reinforcement learning,Your manager on a Monday,Classic automation,A neural network,20,3
9,Rung 1 · Automation,Which is a classic-automation job (no 'intelligence' at all)?,Judge a debate,"Rename 1,000 files / merge 12 Excels",Write an original poem,Decide who you should marry,20,2
10,Rung 1 · Automation,A key selling point of classic automation is that it's…,Creative and surprising,100% predictable and auditable,Powered by tiny hamsters,Great at small talk,20,2
11,Rung 1 · Automation,Why doesn't basic automation 'trend on LinkedIn'?,It's boring but solves most of the work,It refuses to use hashtags,It only runs on weekends,It's illegal,20,1
12,Rung 2 · NLP,NLP (rung 2) is mostly about…,Finding structure/patterns in text,Generating photorealistic images,Teaching computers to taste soup,Controlling robots,20,1
13,Rung 2 · NLP,A typical NLP task is…,Drive a car,Pull the total out of 500 invoices,Argue with your in-laws,Compose a symphony,20,2
14,Rung 2 · NLP,Does classic NLP need to 'understand' the text?,Only if you say please,Only on Tuesdays,No — it works on rules and patterns,"Yes, deeply and emotionally",20,3
15,Rung 2 · NLP,Classifying a document as contract vs invoice vs other is…,Best left to a coin flip,A job for Photoshop,Impossible without GPT-5,A classic NLP job,20,4
16,Rung 3 · ML,Machine learning differs from classic automation because it…,Is allergic to spreadsheets,Learns the rule from examples,Needs no data at all,Never makes mistakes,20,2
17,Rung 3 · ML,"""Here are 10,000 customers who churned → predict the next"" is…",A horoscope,A Transformer,Machine learning,Classic automation,20,3
18,Rung 3 · ML,Roughly how old is the core idea of machine learning?,From the 1950s,"Older than the otter, younger than fire",Invented in 2023,From ancient Rome,20,1
